Kode KBLI 2025,Judul KBLI 2025,Uraian KBLI 2025,Padanan KBLI 2020,Jenis Perubahan,Skala Usaha → Tingkat Risiko,Perizinan Berusaha,Jangka Waktu Penerbitan
20291,Industri Perekat/Lem,"Kelompok ini mencakup kegiatan pembuatan perekat/lem untuk keperluan industri atau alat rumah tangga yang berasal dari tanaman, hewan atau plastik, seperti pati/starch, perekat dari tulang, ester dan eter selulosa, fenol formaldehida/phenol formaldehyde, urea formaldehida/urea formaldehyde, melamin formaldehida/melamine formaldehyde, dan perekat epoksi.",20291 - Industri Perekat/Lem,Tetap,-,-,-
20292,Industri Bahan Peledak,"Kelompok ini mencakup kegiatan pembuatan barang peledak, seperti mesiu, dinamit, detonator, kembang api, petasan, merkuri fulminat, dan bahan pendorong roket.",20292 - Industri Bahan Peledak,Tetap,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
20293,Industri Tinta,"Kelompok ini mencakup kegiatan pembuatan macam-macam tinta, seperti tinta tulis dan tinta khusus.",20293 - Industri Tinta,Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,"-
7 Hari"
20294,Industri Minyak Asiri Hulu,"Kelompok ini mencakup kegiatan pembuatan minyak asiri, seperti minyak jahe, minyak kayu manis, minyak ketumbar, minyak cengkih, minyak kapulaga, minyak pala, minyak melati, minyak kenanga, minyak akar wangi, minyak serai wangi, minyak serai dapur, minyak nilam, minyak cendana, minyak gaharu, minyak kayu putih, minyak pepermin, minyak rempah-rempah, dan minyak yang berasal dari getah, kulit kayu, akar, daun, buah, biji, dan bunga yang belum termasuk kelompok manapun.",20294 - Industri Minyak Atsiri,-,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
20295,Industri Korek Api,"Kelompok ini mencakup kegiatan pembuatan korek api dalam bentuk batangan (matches). Kelompok ini tidak mencakup - pembuatan batu korek api (flint), lihat kelompok 23999; - pembuatan pemantik api (lighter), lihat kelompok 32909.",20295 - Industri Korek Api,Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,"-
7 Hari"
20296,Industri Minyak Asiri Rantai Tengah,"Kelompok ini mencakup kegiatan pengolahan lebih lanjut dari minyak asiri yang masuk pada kelompok 20294 menjadi aneka produk hilir minyak asiri untuk bahan baku produksi bahan perasa (flavour) dan produksi bahan wewangian (fragrance), termasuk untuk produksi aneka bahan kimia yang berbasis pengolahan hilir minyak asiri, termasuk di dalamnya pembuatan bioaditif bahan bakar minyak dari minyak asiri, seperti campuran minyak asiri dan zat aromatik alami, produk preparat bau-bauan dari minyak asiri untuk penggunaan perasa dan wewangian, bioaditif berbasis minyak asiri, dan oleoresin hasil ekstraksi.",20296 - Industri Minyak Atsiri Rantai Tengah,-,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Rendah","NIB
Sertifikat Standar",-
20297,Industri Biofuel Cair,"Kelompok ini mencakup kegiatan pembuatan bahan bakar nabati dalam bentuk cair dari bahan baku biomassa, seperti biodiesel, bioetanol, dan biofuel aviasi. Pembuatan biofuel dalam bentuk padat dimasukkan dalam subgolongan 1629.","20115 - Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian
20299 - Industri Barang Kimia Lainnya YTDL",Pecah Kode,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Mikro → Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Kecil → Tinggi
Usaha Menengah → Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Tinggi
Usaha Besar → Menengah Tinggi
Usaha Besar → Tinggi","Izin
NIB
Sertifikat Standar","-
15 Hari
7 Hari"
20298,Industri Cairan Rokok Elektrik,"Kelompok ini mencakup kegiatan pembuatan cairan rokok elektrik dengan kandungan nikotin dan tanpa nikotin, baik untuk sistem tertutup (misalnya pod disposabel, kartrid) maupun untuk sistem terbuka yang dapat diisi ulang; memformulasikan, mencampur, dan mengemas cairan rokok elektrik dari bahan bakunya (nikotin, zat perasa, propilena glikol, gliserin nabati, dan aditif lainnya).","12099 - Industri Bumbu Rokok Serta Kelengkapan Rokok Lainnya
20299 - Industri Barang Kimia Lainnya YTDL",Pecah Kode,"Usaha Mikro → Menengah Rendah
Usaha Mikro → Tinggi
Usaha Kecil → Menengah Rendah
Usaha Kecil → Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Tinggi
Usaha Besar → Menengah Tinggi
Usaha Besar → Tinggi","Izin
Sertifikat Standar","-
7 Hari"
20299,Industri Barang Kimia Lainnya YTDL,"Kelompok ini mencakup kegiatan pembuatan bermacam-macam bahan-bahan dan barang-barang kimia yang belum diklasifikasikan dalam kelompok manapun, seperti: - pembuatan gelatin; - pembuatan pepton, turunan pepton, substansi protein lainnya beserta turunannya; - pembuatan lemak dan minyak hewani, nabati, atau mikroba serta fraksinya, yang telah direbus, dioksidasi, dikeringkan, disulfurisasi, ditiup, dipolimerisasi melalui pemanasan dalam vakum atau gas inert, atau dimodifikasi secara kimiawi dengan cara lain; - pembuatan bahan isolasi panas selain plastik dan karet; bahan semir/polish; - pembuatan aditif minyak pelumas; film yang peka terhadap cahaya; kertas fotografi; - pembuatan bahan yang digunakan untuk tekstil dan kulit; - pembuatan bubuk dan pasta yang digunakan dalam mematri, penyambungan logam, dan pengelasan; - pembuatan substansi yang digunakan untuk logam; aditif yang telah diformulasi untuk semen; - pembuatan akselerator karet yang telah diformulasi; - pembuatan katalis; - pembuatan sediaan antiketuk; sediaan antibeku; - pembuatan reagen diagnostik atau laboratorium komposit; - pembuatan minyak rem (brake fluid); - pembuatan produk kimia lain untuk kegunaan industri.","20118 - Industri Kimia Dasar Organik Yang Menghasilkan Bahan Kimia Khusus
20299 - Industri Barang Kimia Lainnya YTDL",Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,"-
7 Hari"
20301,Industri Serat Filamen dan Strip Buatan,"Kelompok ini mencakup kegiatan pembuatan serat filamen atau strip sintetis maupun artifisial dalam bentuk gulungan tow dengan bahan dasar poliamida, poliester, polipropilena, akrilik, rayon, selulosa asetat, dan sebagainya untuk diolah lebih lanjut.",20301 - Industri Serat/Benang/Strip Filamen Buatan,-,-,-,-
20302,Industri Serat Stapel Buatan,"Kelompok ini mencakup kegiatan pembuatan serat stapel sintetis maupun artifisial dengan bahan dasar poliamida, poliester, rayon, akrilik, selulosa asetat dan sebagainya (kecuali serat gelas dan serat optik) untuk diolah lebih lanjut. Serat stapel adalah serat yang berbentuk pendek-pendek.",20302 - Industri Serat Stapel Buatan,Tetap,"Usaha Mikro → Tinggi
Usaha Kecil → Tinggi
Usaha Menengah → Tinggi
Usaha Besar → Tinggi",Izin,7 Hari
21011,Industri Bahan Baku Farmasi untuk Manusia,"Kelompok ini mencakup pembuatan dan pengolahan bahan obat, bahan pembantu untuk manusia, yang berasal dari bahan kimia, bahan alam, hewan dan tumbuh-tumbuhan termasuk yang berasal dari hasil biologis, seperti bahan obat-obatan, seperti antisera dan fraksi darah lainnya, vaksin dan preparat homeopatik, substansi aktif obat (antibiotik, vitamin, salisilik dan asam o-asetilsalsilik dan lainlain) untuk bahan farmakologi dalam industri obat-obatan, pengolahan darah, gula murni kimia, garam farmasi, pengolahan kelenjar dan pembuatan ekstraksi kelenjar. Kelompok ini tidak mencakup pembuatan monosodium glutamat (MSG), lihat kelompok 10779.",21011 - Industri Bahan Farmasi Untuk Manusia,-,"Usaha Mikro → Tinggi
Usaha Kecil → Tinggi
Usaha Menengah → Tinggi
Usaha Besar → Tinggi",Izin,7 Hari
21012,Industri Produk Farmasi untuk Manusia,"Kelompok ini mencakup pembuatan dan pengolahan obat-obatan, suplemen kesehatan/makanan, obat kuasi yang berbentuk jadi (sediaan) untuk manusia, misalnya dalam bentuk tablet, kapsul, salep, bubuk, larutan, larutan parenteral dan suspensi, obat kontrasepsi hormonal; produksi radiofarmaka; dan produksi farmasi bioteknologi.",21012 - Industri Produk Farmasi Untuk Manusia,Tetap,-,-,-
21013,Industri Produk Farmasi untuk Hewan,"Kelompok ini mencakup kegiatan pembuatan, pengolahan, dan pengemasan ulang obat-obatan yang berbentuk jadi (sediaan) untuk hewan, misalnya dalam bentuk serbuk, tablet, kapsul, salep, larutan, suspensi, dan aerosol, termasuk pembuatan produk benang bedah, alat-alat diagnosis medis, produksi radioisotop untuk radiofarmaka, farmasi bioteknologi dan pembalut medis, serta perban dan sejenisnya yang dikhususkan untuk hewan.",21013 - Industri Produk Farmasi Untuk Hewan,Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Rendah",Sertifikat Standar,-
21014,Industri Bahan Baku Farmasi untuk Hewan,"Kelompok ini mencakup pembuatan dan pengolahan bahan obat, bahan pembantu untuk hewan, yang berasal dari bahan kimia, bahan alam, hewan dan tumbuh-tumbuhan termasuk yang berasal dari hasil biologis, seperti bahan obat-obatan, seperti antisera dan fraksi darah lainnya, vaksin dan preparat homeopatik, substansi aktif obat untuk bahan farmakologi dalam pembuatan obat-obatan, seperti antibiotik, vitamin, salisilik dan asam o-asetilsalsilik, pengolahan darah, gula murni kimia, garam farmasi, pengolahan kelenjar, dan ekstraksi kelenjar.",21014 - Industri Bahan Farmasi Untuk Hewan,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
21015,"Industri Alat Diagnosis Medis, Perban, Kasa, dan Penunjang Kesehatan Lainnya","Kelompok ini mencakup pembuatan dan pengolahan alat kesehatan terkait diagnosis medis dan produk lainnya dalam subgolongan 2011. Kelompok ini mencakup pembuatan produk kontrasepsi untuk penggunaan eksternal; pembuatan alat diagnosis medis seperti uji kehamilan dan uji gula darah; pembuatan kapas medis, kapas kecantikan, kapas pentol/cotton bud, perban, kasa medis, plester; pembuatan nasal wash, pelumas pribadi/personal lubricant. Kelompok ini tidak mencakup pembuatan stik kapas pentol/cotton bud, lihat kelompok 17099.",21015 - Industri Alat Kesehatan dalam Subgolongan 2101,-,-,-,-
21021,Industri Bahan Baku Obat Bahan Alam untuk Manusia,"Kelompok ini mencakup kegiatan pengolahan macam-macam ekstrak dan simplisia, sediaan galenik, bahan tambahan atau bahan lainnya, baik yang berkhasiat maupun yang tidak berkhasiat, yang berubah maupun yang tidak berubah, yang digunakan dalam pengolahan obat bahan alam, walaupun tidak semua bahan tersebut masih terdapat di dalam produk ruahan.",21021 - Industri Bahan Baku Obat Tradisional untuk Manusia,-,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Rendah","NIB
Sertifikat Standar",-
21022,Industri Produk Obat Bahan Alam untuk Manusia,"Kelompok ini mencakup kegiatan pengolahan macam-macam produk obat bahan alam yang bahannya memakai sumber daya alam bentuk mentah atau belum melalui proses lanjutan dari tumbuhan, hewan, jasad renik, mineral, atau campuran dari bahan tersebut yang berbentuk sedian berupa serbuk, serbuk instan, rajangan, pil, dodol/jenang, pilis, tapel, pastiles, tablet, kapsul, cairan, larutan, emulsi dan suspensi, efervesen, film, strip, gummy chewable, salep, losion, krim dan gel, aerosol untuk obat luar, plester, supositoria; pembuatan minuman jamu dan suplemen kesehatan/makanan bukan produk farmasi.",21022 - Industri Produk Obat Tradisional untuk Manusia,-,"Usaha Mikro → Tinggi
Usaha Kecil → Tinggi
Usaha Menengah → Tinggi
Usaha Besar → Tinggi",Izin,7 Hari
21023,Industri Produk Obat Bahan Alam Untuk Hewan,"Kelompok ini mencakup kegiatan pengolahan macam-macam produk obat bahan alam untuk hewan yang bahannya berasal antara lain dari tumbuh-tumbuhan, bahan hewan, bahan mineral, sediaan sarian (galenik), atau campuran dari bahan tersebut yang berbentuk serbuk, rajangan, pil, dodol/jenang, pastiles, tablet, kapsul, cairan, larutan, emulsi dan suspensi, salep, krim dan gel, supositoria.",21023 - Industri Produk Obat Tradisional Untuk Hewan,-,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Rendah",Sertifikat Standar,-
21024,Industri Bahan Baku Obat Bahan Alam untuk Hewan,"Kelompok ini mencakup kegiatan pengolahan macam-macam ekstrak dan simplisia, sediaan galenik, bahan tambahan atau bahan lainnya, baik yang berkhasiat maupun yang tidak berkhasiat, yang berubah maupun yang tidak berubah, yang digunakan dalam pengolahan obatbahan alam untuk hewan.",21024 - Industri Bahan Baku Obat Tradisional Untuk Hewan,-,"Usaha Mikro → Tinggi
Usaha Kecil → Tinggi
Usaha Menengah → Tinggi
Usaha Besar → Tinggi",Izin,20 Hari
22111,Industri Ban Luar dan Ban Dalam,"Kelompok ini mencakup kegiatan pembuatan ban luar dan ban dalam dengan bahan utamanya dari karet alam atau karet buatan untuk semua jenis kendaraan bermotor, sepeda, kendaraan angkutan lainnya, dan peralatan yang memakai ban.",22111 - Industri Ban Luar Dan Ban Dalam,Tetap,"Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
22112,Industri Pembentukan Kembali Ban dan Vulkanisasi Ban,"Kelompok ini mencakup kegiatan perbaikan ban yang telah terpakai (ban bekas) menjadi seperti ban baru sehingga dapat digunakan lagi untuk kendaraan bermotor, sepeda, kendaraan angkutan lainnya, dan peralatan yang memakai ban.",22112 - Industri Vulkanisir Ban,-,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,"-
7 Hari"
22121,Industri Karet Asap,"Kelompok ini mencakup kegiatan pengolahan karet dengan cara diasap yang menghasilkan produk seperti karet asap/ribbed smoked sheet (RSS), termasuk lembaran karet yang diasap.",22121 - Industri Pengasapan Karet,-,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Tinggi","Izin
NIB","-
7 Hari"
22122,Industri Karet Lembaran dan Crepe Rubber,"Kelompok ini mencakup kegiatan pengolahan karet dengan cara digiling sehingga menghasilkan karet dalam bentuk lembaran, seperti lembaran karet halus/rubber sheet dan lembaran karet yang berkeriput/crepe rubber. Kelompok ini tidak mencakup - pembuatan lembaran karet yang diasap, lihat kelompok 22121; - pembuatan lembaran karet yang sudah ditambahkan zat aditif, lihat kelompok 22192.",22122 - Industri Remilling Karet,-,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Tinggi","Izin
NIB","-
7 Hari"
22123,Industri Karet Remah (Crumb Rubber),Kelompok ini mencakup kegiatan pengolahan karet yang menghasilkan karet remah/crumb rubber.,22123 - Industri Karet Remah (Crumb Rubber),Tetap,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Tinggi","Izin
NIB","-
7 Hari"
22129,Industri Karet Setengah Jadi Lainnya,"Kelompok ini mencakup kegiatan pengolahan karet alam yang menghasilkan produk karet setengah jadi lainnya, seperti lateks pekat dan karet cair (karet depolimerisasi).",22122 - Industri Remilling Karet,Pecah Kode,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Tinggi","Izin
NIB","-
7 Hari"
22191,Industri Barang dari Karet untuk Keperluan Rumah Tangga,"Kelompok ini mencakup kegiatan pembuatan barang-barang dari karet untuk keperluan rumah tangga, seperti karpet karet, selang karet, tabung, pipa atau selang air, benang dan tali karet, benang rajut atau tenun dan kain berlapis karet, penutup bingkai penggulung dari karet, matras karet yang bisa dipompa, balon yang bisa dipompa, karet spons/busa, sikat dari karet, dan matras kasur air/waterbed dari karet. Kelompok ini juga mencakup kegiatan pembuatan keset, tali timba, dan pot bunga dari karet.",22191 - Industri Barang Dari Karet Untuk Keperluan Rumah Tangga,Tetap,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
22192,Industri Barang dari Karet untuk Keperluan Industri,"Kelompok ini mencakup usaha pembuatan barang-barang dari karet untuk keperluan industri, seperti konveyour sabuk; fan belt; engine mounting; lining dari karet, pelat karet, lembaran karet, potongan karet, batangan karet, dan bentuk profil karet yang sudah ditambahkan zat aditif; perkakas, cincin dan segel dari karet; batang pipa untuk uap panas dari karet keras dan bahan repair dari karet; termasuk kelengkapan motor penggerak dari karet, transmisi, body, frame, suspensi, steering, dan aksel/axle terbuat dari karet.",22192 - Industri Barang Dari Karet Untuk Keperluan Industri,Tetap,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
22193,Industri Barang dari Karet untuk Keperluan Infrastruktur,"Kelompok ini mencakup kegiatan pembuatan kompon dan barangbarang dari karet untuk keperluan infrastruktur, seperti kompon untuk aspal karet, serbuk karet alam teraktivasi (SKAT), bumper dermaga/dock fender, bantalan seismik/seismic bearing, bantalan jembatan, bendung karet/rubber dam, bonggol jalan/road bump dari karet, bantalan rel/rail pad, pagar rel/rail guard, penyekat kanal/canal blocking, dan kerucut lalu lintas/traffic cone.",22193 - Industri Barang dari Karet untuk Keperluan Infrastruktur,Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,"-
7 Hari"
22194,Industri Barang dari Karet untuk Kesehatan,"Kelompok ini mencakup kegiatan pembuatan barang dari karet untuk kebutuhan menunjang kesehatan, antara lain seperti sarung kontrasepsi (kondom), dot dan alat kompres, sarung tangan karet medis, dan kateter urin/folley catheter.",22194 - Industri Barang Dari Karet Untuk Kesehatan,Tetap,-,-,-
22199,Industri Barang Lainnya dari Karet YTDL,"Kelompok ini mencakup kegiatan pembuatan barang lainnya dari karet, seperti pembuatan barang dari ban bekas dan sisa macammacam barang dari karet, antara lain sarung tangan karet selain untuk keperluan medis; barang-barang karet untuk pakaian (jika hanya disatukan bersama, bukan dijahit), seperti sisir, jepit rambut, rol rambut dan sejenisnya dari karet keras; kain tekstil yang diresapi, dilapisi atau dilaminasi dengan karet, dengan karet sebagai bahan pokok; topi dan baju mandi dari karet; jas hujan dan pakaian selam dari karet; dan alat-alat seks dari karet.",22199 - Industri Barang Dari Karet Lainnya YTDL,-,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
22201,Industri Barang dari Plastik untuk Bangunan,"Kelompok ini mencakup kegiatan pembuatan barang dari plastik untuk bangunan, seperti pintu, jendela, kusen, daun penutup jendela, kerai, skirting boards dari plastik; tangki, tandon air dari plastik; penutup lantai, dinding, dan langit-langit plastik dalam bentuk gulungan atau lembaran; serta peralatan kebersihan dari plastik, seperti gorden plastik, shower, wastafel, lavatory pan, dan bak penyiram (flushing).",22210 - Industri Barang dari Plastik Untuk Bangunan,Recoding/Pindah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
22202,Industri Barang dari Plastik dan Bioplastik untuk Pengemasan,"Kelompok ini mencakup kegiatan pembuatan kemasan dari plastik dan bioplastik, seperti tas atau kantong plastik, sak atau karung plastik, kemasan kosmetik, kemasan film, kemasan obat, kemasan makanan dan kemasan lainnya dari plastik (wadah, botol, boks, kotak, rak dan lain-lain). Kelompok ini tidak mencakup kegiatan pembuatan karung bagor dari plastik yang ditenun, lihat kelompok 13924.",22220 - Industri Barang Dari Plastik Untuk Pengemasan,Recoding/Pindah Kode,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
22203,Industri Pipa Plastik dan Perlengkapannya,"Kelompok ini mencakup kegiatan pembuatan pipa dan selang dari plastik, seperti pipa dan selang plastik, termasuk tabung plastik dan perlengkapan pipa. Barang-barang ini dapat dibuat dari jenis plastik polivinil klorida (PVC), polietilena (PE), atau polipropilena (PP).",22230 - Industri Pipa Plastik Dan Perlengkapannya,Recoding/Pindah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
22204,Industri Plastik Lembaran,"Kelompok ini mencakup kegiatan pembuatan barang plastik lembaran, seperti plastik lembaran berbagai jenis, misalnya polietilena (PE), polipropilena (PP), dan polivinil klorida (PVC), kulit imitasi, formika, dan kaca plastik, termasuk pelat plastik, lembaran plastik, balok plastik, film, foil, dan potongan plastik (baik berperekat atau tidak).",22291 - Industri Barang Plastik Lembaran,Recoding/Pindah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
22205,Industri Perlengkapan dan Peralatan Rumah Tangga dari Plastik (Tidak Termasuk Furnitur),"Kelompok ini mencakup kegiatan pembuatan barang-barang perlengkapan dan peralatan rumah tangga dari plastik, seperti tikar, karpet, ember, dan vas, termasuk barang perlengkapan rumah tangga penunjang kesehatan (seperti sikat gigi dan botol susu dari plastik). Kelompok ini juga mencakup kegiatan pembuatan peralatan makan, peralatan dapur, barang-barang toilet plastik, serta penutup lantai tahan lama, seperti vinil dan linoleum.",22292 - Industri Perlengkapan Dan Peralatan Rumah Tangga (tidak Termasuk Furnitur),Recoding/Pindah Kode,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
22206,Industri Barang dan Peralatan Teknik/Industri dari Plastik,"Kelompok ini mencakup kegiatan pembuatan barang-barang dan peralatan teknik/industri dari plastik, seperti bagian-bagian mesin, bagian dan kelengkapan dari motor penggerak, transmisi, bodi, rangka, suspensi, steering, aksel/axle, botol-botol, pipa-pipa, dan lemari plastik untuk keperluan teknik/industri, termasuk konveyor sabuk/conveyor belt.",22293 - Industri Barang Dan Peralatan Teknik/Industri Dari Plastik,Recoding/Pindah Kode,-,-,-
22209,Industri Barang Lainnya dari Plastik,"Kelompok ini mencakup kegiatan pembuatan barang-barang dari plastik yang belum diklasifikasikan dalam subgolongan 2220, seperti: - peralatan kantor/pendidikan; peralatan kesehatan/laboratorium dari plastik, misalnya kantong infus dan selang infus; - film atau lembaran kertas kaca (selofan/cellophane); - batu buatan dari plastik; tanda dari plastik (bukan listrik); - berbagai barang plastik, seperti tutup kepala, peralatan penyekat, bagian dari peralatan penerangan, barang-barang pakaian (jika hanya disegel atau disatukan, tidak dijahit), perlengkapan untuk furnitur, patung, pita perekat dari plastik, penutup dinding plastik, sepatu plastik tahan lama, pegangan cerutu dan rokok dari plastik, sisir, pengeriting rambut dari plastik, dan barangbarang unik dari plastik. Kelompok ini juga mencakup kegiatan pengolahan dan penyelesaian barang dari plastik, seperti pelapisan dengan logam atau zat pelapis lainnya dan pengecatan (kecuali untuk suku cadang dan aksesori khusus kendaraan bermotor dari plastik). Kelompok ini tidak mencakup - pembuatan barang-barang peralatan olahraga, termasuk kolam renang plastik untuk anak-anak, lihat kelompok 32300; - pembuatan mainan anak-anak dari plastik, lihat kelompok 32402; - pembuatan tas, buku saku dan sejenisnya dari kulit dan kulit buatan, lihat kelompok 15121.",22299 - Industri Barang Plastik Lainnya YTDL,Recoding/Pindah Kode,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
23111,Industri Kaca Lembaran,"Kelompok ini mencakup kegiatan pembuatan berbagai macam kaca lembaran, seperti kaca lembaran bening tak berwarna, kaca lembaran bening berwarna, kaca lembaran buram berwarna, kaca patri, kaca berukir, dan kaca cermin. Kelompok ini juga mencakup kegiatan pembentukan dan pengolahan kaca lembaran.",23111 - Industri Kaca Lembaran,Tetap,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
23112,Industri Kaca Pengaman,"Kelompok ini mencakup kegiatan pembuatan berbagai macam kaca pengaman seperti kaca pengaman diperkeras, kaca pengaman berlapis, kaca pengaman isolasi, dan kaca pengaman lainnya.",23112 - Industri Kaca Pengaman,Tetap,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
23119,Industri Kaca Lainnya,"Kelompok ini mencakup kegiatan pembuatan berbagai macam kaca yang belum termasuk kelompok 23111 dan 23112, seperti tubes, rods, kaca batangan, atau kaca pipa, serta pembentukan dan pengolahan kaca datar.",23119 - Industri Kaca Lainnya,Tetap,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
23121,Industri Perlengkapan dan Peralatan Rumah Tangga dari Kaca,"Kelompok ini mencakup kegiatan pembuatan berbagai macam perlengkapan rumah tangga dari kaca, seperti cangkir, gelas minum, piring, mangkuk, teko, stoples, asbak dan botol susu bayi, termasuk juga kegiatan pembuatan barang-barang pajangan dari kaca, seperti patung atau arca dari kaca, vas, lampu kristal, semprong lampu tekan, dan semprong lampu tempel. Kelompok ini juga mencakup pembuatan berbagai macam wadah atau kemasan dari kaca dan kristal, seperti botol dan guci, termasuk kaca berongga.","23121 - Industri Perlengkapan Dan Peralatan Rumah Tangga Dari Kaca
23123 - Industri Kemasan Dari Kaca",Gabung Kode,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
